data_index,text,cluster
57,it wouldn't seem right if it started raining right now.,34
58,it would be weird if it started raining in ninety degree weather.,44
59,any rain right now would be pointless.,34
60,"that's right, it really would be.",42
61,i want it to cool down some.,0
62,"i know what you mean, i can't wait until it's winter.",11
63,winter is great. i wish it didn't get so cold sometimes though.,30
64,it's such a nice day.,34
65,"yes, it is.",12
66,it looks like it may rain soon.,34
67,"yes, and i hope that it does.",48
68,why is that?,1
69,i really love how rain clears the air.,31
70,me too. it always smells so fresh after it rains.,31
71,"yes, but i love the night air after it rains.",11
72,really? why is it?,33
73,because you can see the stars perfectly.,44
74,i really hope it rains today.,35
75,isn't it a nice day?,7
76,it really is.,8
77,it seems that it may rain today.,52
78,hopefully it will.,6
79,how come?,2
80,i like how clear the sky gets after it rains.,35
81,i feel the same way. it smells so good after it rains.,31
82,i especially love the night air when it rains.,35
83,really? why?,33
84,the stars look so much closer after it rains.,44
85,i really want it to rain today.,31
86,don't you think it's nice out?,2
87,"yes, i think so too.",9
88,i think that it's going to rain.,16
89,i hope that it does rain.,16
90,you like the rain?,1
91,the sky looks so clean after it rains. i love it.,16
92,i understand. rain does make it smell cleaner.,31
93,i love most how it is at night after it rains.,35
94,how come?,2
95,you can see the stars so much more clearly after it rains.,52
96,i really want to go to the beach this weekend.,35
97,that sounds like fun. what's the weather going to be like?,49
98,i heard that it's going to be warm this weekend.,35
99,is it going to be perfect beach weather?,7
100,i believe so.,10
101,good. i hope it doesn't cool off this weekend.,41
102,i know. i really want to go to the beach.,16
103,but you know that california weather is really unpredictable.,52
104,"you're right. one minute it's hot, and then the next minute it's cold.",4
105,i really wish the weather would just stay the same.,31
106,i do too. that way we can have our activities planned ahead of time.,52
107,i would like to take a trip to the beach this weekend.,35
108,a trip to the beach would be fun. how is the weather going to be?,49
109,the forecast says that it will be warm on the weekend.,52
110,so do you think it'll be perfect weather for the beach?,7
111,it sounds like it will be.,6
112,i really hope it doesn't get cold.,0
113,"that would ruin things, i want to go so badly.",11
114,"the weather in california is unpredictable, so you never know.",47
115,that is true. the weather is constantly changing.,34
116,it would be nice if the weather would never change.,34
117,"that would be great, then we could plan things sooner.",47
118,it would be nice to go to the beach sometime this weekend.,8
119,what's the weather going to be like? i may want to go too.,23
120,the weather this weekend is supposed to be warm.,34
121,will it be good beach weather?,7
122,i think it will be.,10
123,it wouldn't be good if it got cold this weekend.,6
124,"i want this trip to be perfect, i hope it stays warm.",56
125,"this california weather is so uncertain, it's impossible to know what'll happen.",52
126,i know. every day the weather seems different.,30
127,i would love it if it wasn't always so unpredictable.,35
128,"hello, may i speak to alice please?",60
129,this is she. how's it going?,20
130,i've been trying to call you all day.,35
131,sorry about that. i was cleaning up.,16
132,it's okay.,8
133,so what were you calling me about?,38
134,"oh, i just wanted to see if you wanted to hang out tomorrow.",11
135,"sure, what did you want to do?",57
136,maybe we can go see a movie or something.,44
137,that sounds like fun. let's do it.,54
138,i'll see you tomorrow then.,10
139,"hi, how are you. is alice there?",57
140,speaking. what's up?,49
141,why haven't you answered the phone?,7
142,"my bad, i had chores to do.",48
143,that's all right.,34
144,what was the reason for your call?,51
145,i want to do something tomorrow with you.,0
146,sounds good. what did you have in mind?,49
147,i was thinking about seeing a movie.,16
148,"okay, let's go see a movie.",42
149,until then.,6
150,is alice available?,13
151,you're talking to her.,8
152,i've called you a hundred times today.,35
153,i was busy doing something. i apologize.,0
154,no problem.,6
155,did you need something?,2
156,do you want to do something tomorrow?,1
157,is there somewhere special you wanted to go?,7
158,how about a movie?,7
159,a movie sounds good.,8
160,have you seen the new girl in school?,1
161,"no, i haven't.",19
162,she's really pretty.,8
163,describe her to me.,10
164,she's not too tall.,8
165,"well, how tall is she?",36
166,she's about five feet even.,8
167,"what does she look like, though?",36
168,she has pretty light brown eyes.,8
169,i may know which girl you're talking about.,35
170,so you have seen her around?,7
171,"there's a new girl in school, have you seen her yet?",57
172,i haven't seen her yet.,0
173,i think that she is very pretty.,0
174,tell me how she looks.,10
175,she's kind of short.,6
176,what height is she?,1
177,she's probably about five feet.,34
178,"that's nice, but tell me what she looks like.",48
179,the first thing i noticed was her beautiful brown eyes.,0
180,i think i might've bumped into her before.,10
181,are you telling me that you've seen her before?,24
182,have you met the new girl?,1
183,no. have you?,14
184,she's one of the prettiest girls at the school.,8
185,what does she look like?,1
186,"well, she's quite short.",12
187,how tall would you say that she is?,51
188,i would say she's only five feet.,0
189,what about her facial features?,13
190,"she has light brown eyes, absolutely beautiful.",47
191,i think i know who you're talking about.,0
192,why weren't you at school yesterday?,7
193,i wasn't really feeling well.,0
194,what was wrong with you?,1
195,my stomach was upset.,8
196,do you feel better now?,2
197,i don't really feel too well yet.,0
198,do you want anything to make you feel better?,51
199,"no, thanks. i already took some medicine.",11
200,i hope you feel better.,10
201,what reason do you have for missing school?,51
202,i was sick.,10
203,how were you sick?,2
204,i had a stomachache.,31
205,did it get any better?,1
206,i'm still feeling under the weather.,0
207,would you like anything for your stomach?,7
208,i took something earlier.,16
209,get better.,6
210,why didn't you go to school yesterday?,1
211,i stayed home because i wasn't feeling well.,0
212,what was your problem?,1
213,my stomach was bothering me.,0
214,are you feeling any better?,1
215,i'm still feeling a little sick.,0
216,"i'm going to the store, would you like any pepto bismol?",46
217,that's okay.,34
218,did you hear the good news?,1
219,"no, i haven't.",19
220,i got a promotion at my job.,16
221,did you really?,1
222,"seriously, i am so excited.",9
223,"well, congratulations.",42
224,thank you.,8
225,i'm so happy for you.,0
226,really?,1
227,yes. you really deserved this.,54
228,you think so?,2
229,have you heard my good news?,7
230,you haven't told me anything yet.,16
231,i got a promotion at work earlier this week.,35
232,is that right?,1
233,it's the truth. i am really happy.,30
234,congratulations on your promotion.,34
235,thank you very much.,8
236,i am really excited for you.,0
237,are you really?,1
238,i'm serious. you deserved this promotion.,41
239,is that what you really think?,51
240,"i haven't told you what happened yet, have i?",60
241,i haven't heard anything.,35
242,"my boss offered me a promotion, and i took it.",56
243,are you serious?,2
244,"yes, i am really excited.",19
245,that's great. congratulations.,34
246,i appreciate that.,35
247,you have no idea how happy i am for you.,35
248,you look really nice today. ,34
249,thank you. i just got this outfit the other day.,30
250,"really, where did you get it?",36
251,i got it from macy's.,0
252,it's really nice.,8
253,"thanks again. you look nice today, too.",47
254,thank you. i just got these shoes today.,30
255,really? what kind of shoes are they?,1
256,these are called all star chuck taylors.,52
257,i really like those. how much did they cost?,23
258,they were about forty dollars.,34
259,i absolutely love what you're wearing today.,31
260,you do? i just bought this outfit a couple days ago.,23
261,"seriously, it looks really nice on you. where did you buy it from?",57
262,i bought it from the macy's at the santa anita mall.,52
263,i really like that outfit.,16
264,"thanks. i think you look nice today, too.",48
265,thank you. i just bought these new shoes earlier today.,16
266,those are nice. what are they?,14
267,these are some chucks.,6
268,those are great. how much were they?,14
269,i got them for forty.,10
270,i think that you look very cute today.,16
271,is that right? this is a brand new outfit.,49
272,what store did you get it from?,1
273,i went to macy's and picked it out.,16
274,i love your outfit right now.,10
275,"well, i think you look nice today too.",19
276,thanks. i found these new shoes earlier at the store.,16
277,i think that those are some really nice shoes. what kind are they?,23
278,these are chucks.,6
279,your shoes look really nice. how much did you get them for?,14
280,"tell me, what do you enjoy doing in your spare time?",60
281,i enjoy drawing and painting.,35
282,you know how to draw and paint?,51
283,"yes, i do.",9
284,when did you learn how to do that?,7
285,i learned back in high school.,16
286,"oh, so you took an art class?",25
287,"yeah, i loved that class.",11
288,i see that you're pretty talented.,16
289,thank you very much.,8
290,i wish i had a talent like that.,16
291,what kinds of things do you like to do?,1
292,i've always liked to draw and paint.,31
293,i didn't know you knew how to draw and paint.,35
294,i do it every once in a while.,0
295,how long have you known how to do that?,7
296,i first learned how to do it in high school.,0
297,did you take some sort of art class or something?,51
298,that was my favorite class.,44
299,you have got to be talented.,34
300,thanks.,8
301,if only i was talented.,0
302,are there any hobbies you do?,1
303,"when i have time, i sometimes draw and paint.",11
304,"oh, you actually do that?",25
305,"every so often, i do.",9
306,did you always know how to draw and paint?,13
307,i was taught in high school how to draw and paint.,31
308,you had an art class?,13
309,"exactly, it was my favorite class.",47
310,"well, it's good that you're so talented.",42
311,i appreciate that.,35
312,what's your favorite movie?,7
313,my favorite movie is superbad.,34
314,"oh, why is that?",36
315,it's the funniest movie that i've ever seen.,0
316,that's true. it is a very funny movie.,8
317,you've seen it before? ,2
318,"yes, i saw that movie the first day it came out in theaters.",11
319,didn't you laugh through the whole movie? i did.,23
320,me too. that movie brought tears to my eyes.,30
321,mine too.,6
322,i have it on dvd at my house if you want to come over and watch it.,31
323,which movie is your favorite to watch?,7
324,"i have to say, my favorite movie is superbad.",11
325,is that right? why?,33
326,"honestly, it is one of the funniest movies i've seen in a long time.",19
327,you're right. that movie is hilarious.,8
328,i didn't think you saw that movie.,0
329,i went to see it the day it came out.,0
330,i was laughing through the whole movie.,0
331,"i couldn't help laughing, either. ",19
332,same here.,8
333,i bought the movie. would you like to come to my house and watch it?,23
334,"out of every movie that you've seen, which one is your favorite?",57
335,i'm going to have to say that superbad is the best movie ever.,31
336,"you think so, how come?",36
337,"well, superbad is super funny.",4
338,"you're not lying, i found that movie absolutely hilarious.",11
339,i didn't know that you saw superbad before.,16
340,i made sure to be in line to see it the first day it came out.,16
341,i couldn't keep from laughing throughout the whole movie.,0
342,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,31
343,that's exactly how i felt.,16
344,what type of music do you like to listen to?,1
345,i like listening to different kinds of music.,10
346,"like what, for instance?",57
347,i enjoy rock and r&b.,0
348,why is that?,1
349,i like the different instruments that they use.,0
350,that's a good reason to like something.,44
351,what kind of music do you enjoy listening to?,1
352,i enjoy listening to all kinds of music.,0
353,what kind?,1
354,i like to listen to rock and r&b.,0
355,why do you like that type of music?,1
356,i like the kinds of instruments that they use.,0
357,i think that's an excellent reason to like something.,35
358,what is your favorite kind of music?,7
359,i listen to various types of music.,0
360,what genres?,1
361,i enjoy listening to both rock and r&b.,0
362,what interests you in that type of music?,7
363,i enjoy the different types of instruments that they use.,0
364,did you go to the basketball game on friday?,13
365,"no, i couldn't make it.",19
366,you missed a really good game.,44
367,"oh, really? who won?",36
368,our school did. they played really well.,8
369,too bad i was busy. i really wanted to go.,16
370,"yeah, you should have. it was really exciting.",26
371,so what was the score?,1
372,the score was 101-98.,58
373,"man, that was a really close game.",47
374,that's what made it so great.,52
375,were you able to attend friday night's basketball game?,39
376,i was unable to make it.,16
377,you should have been there. it was intense.,54
378,is that right. who ended up winning?,14
379,our team was victorious.,8
380,i wish i was free that night. i'm kind of mad that i didn't go.,50
381,it was a great game.,44
382,what was the score at the end of the game?,51
383,our team won 101-98.,37
384,sounds like it was a close game.,34
385,that's the reason it was such a great game.,52
386,i was meaning to ask you if you saw the basketball game on friday.,31
387,"i wanted to go, but i couldn't.",28
388,it was a great game.,44
389,it's too bad that i couldn't make it. who won?,23
390,our team played hard and won.,52
391,i really wish i went to the game.,0
392,it was the best game ever.,8
393,so tell me the final score.,0
394,"the other team lost by three points, 101-98. ",4
395,it must've been a close game.,34
396,what are you doing this weekend?,1
397,i'm going to the movies with a friend. how about you?,23
398,i'm not sure yet.,10
399,"well, did you want to go see a movie with me?",60
400,what movie are you going to see?,1
401,i'm not sure yet. is there something you want to see?,23
402,there's nothing i can think of.,0
403,"so, did you want to go?",36
404,"no, thanks, maybe another time.",45
405,do you know what you're going to do this weekend?,1
406,i am going to see a movie with a friend of mine. what about you?,23
407,i don't know.,10
408,would you like to see a movie with me and my friend?,38
409,do you know what movie you're going to watch?,7
410,"i don't know, but was there a certain movie you wanted to see?",60
411,none that i can think of.,16
412,"well, would you like to go?",36
413,"thank you for inviting me, but i think i'll pass.",28
414,you have any ideas as to what you want to do this weekend?,39
415,i'm going to the movie theater with my friend. what are you going to do?,23
416,i'm not quite sure yet.,10
417,how about you see a movie with me and my friend?,38
418,what movie are you and your friend planning on watching?,13
419,not sure. is there a movie out that catches your eye?,49
420,no good movies come to mind.,6
421,have you decided whether or not you would like to go?,1
422,did you go to school today?,1
423,"yeah, i went to school today. were you there?",46
424,"no, i didn't go, i've been sick.",29
425,that sucks. did you want the assignments from english class?,49
426,"that would be nice, thank you.",42
427,"no problem, you're welcome.",12
428,i will be glad to do the same for you when you're sick.,16
429,have you attended school today?,51
430,i attended school today. did you?,23
431,i wasn't able to attend school because i was feeling ill.,16
432,i'm sorry to hear that. would you like the assignments from english class?,23
433,"i would really appreciate that, thanks.",59
434,it's no trouble at all.,34
435,"if you get sick, i'll return the favor.",19
436,have you gone to school today?,7
437,i went to school today. did you go to school?,23
438,"i couldn't go to school today, i was sick.",28
439,that's horrible. i'd be happy to give you the assignments from english class.,31
440,"thank you very much, that's kind of you.",42
441,don't mention it.,6
442,did you hear the news?,1
443,what happened?,7
444,our cousin went into labor and had her baby last week.,52
445,she did? why didn't anyone tell me?,33
446,i would've thought that somebody would have told you.,16
447,"no, i had no idea.",48
448,"well, she did, her baby was 8 pounds 6 ounces.",4
449,"oh my god, that's great!",59
450,are you going to go and visit her and the baby?,51
451,i think that i might.,50
452,good! i just thought i'd let you know.,18
453,have you heard what happened?,13
454,heard what?,7
455,debrah already had her baby.,52
456,i didn't know that.,0
457,i thought you knew.,10
458,i honestly didn't know.,10
459,the baby was 8 pounds 6 ounces.,8
460,that's good to hear.,34
461,will you go and visit them?,1
462,of course i will.,10
463,i just wanted to give you the good news.,0
464,have you heard the news?,7
465,i haven't heard anything.,35
466,debrah had her baby last week.,52
467,nobody told me.,10
468,i thought you heard.,0
469,i really wasn't told anything.,16
470,she was a cute 8 pounds 6 ounces.,8
471,"wow, how exciting.",12
472,"i know, you should really go and see her and the baby.",11
473,of course i will.,10
474,did you go to school today?,1
475,of course. did you?,20
476,"i didn't want to, so i didn't.",28
477,"that's sad, but have you gone to the movies recently?",25
478,that's a switch.,34
479,"i'm serious, have you?",46
480,"no, i haven't. why?",46
481,i really want to go to the movies this weekend.,16
482,so go then.,6
483,i really don't want to go by myself.,16
484,"well anyway, do you plan on going to school tomorrow?",25
485,did you make it to school today?,7
486,i always do. did you go to school today?,23
487,"no, i didn't.",9
488,"you should have, but have you seen any movies lately?",25
489,that was an odd change of subject.,44
490,"maybe it was, but answer the question.",42
491,"no, not recently.",12
492,i want to go to see a movie this weekend.,16
493,what's stopping you then?,1
494,i don't want to go alone.,16
495,"so, will you be at school tomorrow?",36
496,did you even bother to go to school today?,1
497,"yeah, i went. did you go?",46
498,"no, i didn't feel like it.",9
499,"that's nice, have you been to the movies lately?",25
500,"no, but that was a random change of subject.",47
501,"it may have been random, but have you?",25
502,i haven't lately.,16
503,i would love to catch a movie this weekend.,16
504,"so then, why don't you just go?",36
505,i don't want to see a movie by myself.,16
506,thanks for coming to see me today.,16
507,it's no problem. i was really missing you anyway.,16
508,i missed you too.,10
509,why haven't you tried to come see me then?,24
510,i've been really busy.,0
511,doing what?,1
512,working.,6
513,"i would've come to see you sooner, but i've been busy too.",29
514,what have you been doing?,7
515,i've been working too.,10
516,"well regardless, i'm very happy that you came to see me.",56
517,i'm really glad that you came to see me.,16
518,i had to. i was missing you a lot.,0
519,i was missing you too.,10
520,"so, why haven't you visited me?",46
521,i've actually been busy lately.,35
522,what have you been doing?,7
523,i've just been working really hard.,16
524,i've also been busy.,0
525,tell me what you've been doing.,0
526,"basically, i've been working too.",48
527,"well whatever, i'm glad you came.",48
528,i'm really happy that you came to visit me.,16
529,i really missed you a lot.,16
530,i've been missing you like crazy.,0
531,i don't understand why you haven't come to visit me.,0
532,"lately, i've been quite busy.",19
533,tell me what you've been up to.,0
534,i've really been working a lot lately.,35
535,i've been pretty busy myself.,10
536,so what have you been up to?,7
537,i've just been working a lot.,0
538,"hey, did you hear about jessica's party this weekend?",25
539,"yeah, but i'm still waiting for my invitation.",11
540,oh really? she gave me mine earlier today.,23
541,"well, she'll probably just give me my invitation later on today.",11
542,"yeah, so are you planning on going?",57
543,i think so. it sounds like it's going to be a lot of fun.,30
544,"it really does, i can't wait.",11
545,what time does the party start?,51
546,it starts at 8 o'clock.,34
547,"oh, well, how many people has she given invites to so far?",57
548,"i'm not sure, but i don't think she's given out that many.",56
549,have you heard about jessica's party on saturday?,39
550,"i've heard about it, but i'm still waiting for my invitation.",11
551,really? i got mine from her this morning.,23
552,i'm guessing that she's going to give me my invite today or tomorrow.,0
553,"you're probably right, do you intend on going to the party?",57
554,i want to. i heard it's going to be really fun.,16
555,"i know, it does sound pretty awesome.",19
556,"well, when does the party start?",57
557,it's supposed to start at about eight.,44
558,how many invitations has she given out?,51
559,"i really don't know, but i don't think she gave out that many yet.",56
560,has anyone told you about jessica's party coming up?,13
561,i was told about it already. i'm just waiting for my invitation.,35
562,is that right? i already got my invitation from her earlier.,49
563,i believe that she will give me the invitation today.,16
564,are you even going to go?,2
565,"yeah, it sounds like it's going to be the best party of the year.",47
566,"exactly, it seems like it's going to be loads of fun.",42
567,when exactly does the party start?,51
568,the invitation says it starts at 8:00 p.m.,34
569,has she given out a lot of invitations yet?,51
570,"hey, what's up?",36
571,nothing really.,8
572,i'm throwing a party on friday.,35
573,i didn't realize that.,16
574,you didn't?,2
575,nobody has told me anything about your party.,31
576,did you want to go?,1
577,when does it start?,1
578,at 8:00 p.m.,54
579,i'll be there.,10
580,i'd better see you there.,10
581,what's going on with you?,1
582,fine. what's going on with you?,14
583,i'm having a party this friday.,31
584,i had no idea.,16
585,is that right?,1
586,i didn't hear anything about it.,35
587,can you go?,1
588,what time?,1
589,it starts at 8 o'clock.,34
590,i'll go.,10
591,i hope that i'll see you there.,50
592,what's going on?,1
593,not much.,6
594,"this friday, i'm throwing a party.",11
595,oh really? i didn't know that.,23
596,are you serious?,2
597,i haven't heard anything about it.,31
598,can you make it?,7
599,what time does it start?,7
600,the party starts at 8.,44
601,"yeah, i think i'll go.",28
602,what's going on?,1
603,"nothing really, you?",36
604,i'm throwing a party next saturday.,31
605,is that right?,1
606,"yeah, are you going to come?",36
607,"i'm sorry, i can't.",28
608,why not?,2
609,i don't really want to.,16
610,"well, why don't you?",36
611,i hate going to parties.,16
612,"well, that's okay.",42
613,what's up?,1
614,"nothing, how about you?",36
615,"next saturday, i'm going to have a party.",59
616,"oh, really?",36
617,you are coming?,2
618,probably not.,8
619,why is that?,1
620,i don't feel like going.,10
621,why not?,2
622,i really can't stand going to parties.,31
623,"i understand, i guess.",28
624,what's happening?,7
625,"not a lot, what about you?",25
626,i'm having a party next saturday.,31
627,that's nice.,8
628,are you going to be there?,2
629,i don't think so.,10
630,is there a reason why?,7
631,i just really don't want to go.,16
632,how come?,2
633,i don't really like parties.,16
634,what's up?,1
635,"nothing much, what's going on?",36
636,i'm having a party this friday.,31
637,"oh, really? that's nice.",57
638,i wanted to see if you wanted to come.,16
639,"this friday? sorry, i already have plans.",60
640,doing what?,1
641,i'm going to dinner with my family.,0
642,"i really wanted you to come, but i understand.",56
643,"yeah, maybe next time.",42
644,i'll hold you to that.,0
645,"hey, what's good with you?",36
646,not a lot. what about you?,49
647,i'm throwing a party on friday.,35
648,that sounds like fun.,8
649,do you think you can come?,1
650,i'm sorry. i'm already doing something this friday.,16
651,what are you going to be doing?,1
652,my family and i are going to dinner.,16
653,i was hoping you would come.,10
654,i'll definitely try to make it the next time.,0
655,i'd better see you there.,10
656,what's going on?,1
657,nothing really. how about you?,49
658,"a lot, like the party i'm having on friday.",11
659,"well, that's cool.",4
660,will you be able to make it?,7
661,i'm busy this friday. i'm sorry.,0
662,what do you have to do?,7
663,i'm having dinner with my family,35
664,maybe you can come next time.,34
665,i'll make sure and come to your next party.,35
666,it was nice talking to you.,8
667,why are you trying to rush me off the phone?,33
668,i really have to go.,16
669,why? i still wanted to talk to you.,23
670,i have things to do.,0
671,like what?,1
672,don't be nosey.,6
673,i'm not. i just want to know.,0
674,"well, it's really none of your business.",4
675,that's harsh.,34
676,"i'm sorry, but i have to go.",28
677,i've enjoyed conversing with you.,10
678,is there a reason why you're trying to get off the phone so fast?,51
679,i've got to go.,10
680,i wasn't done talking to you.,0
681,"i have to do some things, and besides, it's not polite to be nosey.",19
682,i'm not being nosey. i'm just asking.,0
683,i really don't think it's any of your business.,16
684,that's not nice.,8
685,"i apologize, but i'm getting off the phone now.",28
686,i'll talk to you later.,16
687,what's the rush?,1
688,i have to get off the phone now.,0
689,i'm not ready to get off the phone with you.,0
690,there are other things i need to take care of.,16
691,what is it that you need to do? ,7
692,please don't be nosey.,8
693,"i'm not being nosey, it's just a question.",19
694,you don't need to worry about that.,34
695,that was mean to say.,44
696,"well, it was nice talking to you.",4
697,it was nice talking to you too.,8
698,we should really hang out again.,52
699,that would be fun.,8
700,where do you want to go?,1
701,i think we should go out to eat.,0
702,that sounds good.,8
703,"all right, so i'll see you then.",19
704,i'll call you later.,16
705,"okay, i'll talk to you later then.",11
706,see you later.,8
707,i enjoyed talking to you.,0
708,i enjoyed talking to you too.,0
709,we should hang out some time.,8
710,i think that would be nice.,0
711,is there anything you would like to do next time?,1
712,do you want to go out to eat?,7
713,i'd like that.,0
714,so i'll see you next time.,10
715,i'm going to call you soon. ,0
716,i'll talk to you later.,16
717,see you soon.,6
718,i had fun talking to you.,16
719,it was really nice talking to you also.,44
720,i think we should really do something sometime.,0
721,that should be loads of fun.,34
722,what do you want to do next time?,7
723,would you like to go to dinner or something?,2
724,"yeah, let's do that.",42
725,"okay, until next time then.",4
726,i'll call you so we can set that up.,35
727,talk to you then.,8
728,where do you live?,2
729,i live in pasadena.,35
730,where is pasadena?,51
731,it's in california.,34
732,is it in northern california?,7
733,no. it's in southern california.,8
734,is pasadena a big city?,13
735,it's pretty big.,6
736,"how big is """"pretty big""""?",5
737,"it has about 140,000 people.",42
738,how big is los angeles?,1
739,do you have a car?,51
740,"yes, i do.",9
741,what kind of car do you have?,51
742,i have a honda.,35
743,is it new?,2
744,it was new in 2003.,6
745,"so, it's pretty old now.",12
746,"yes, it is. but it still looks good.",12
747,do you take good care of it?,7
748,"oh, yes. i wash it once a week.",48
749,do you change the oil?,1
750,do you have a girlfriend?,7
751,"no, i don't. do you?",46
752,"i don't have a girlfriend, either.",48
753,why not?,2
754,i don't know. maybe i'm not rich enough.,0
755,girls like guys with money.,6
756,they sure do.,6
757,they like guys with new cars.,8
758,i don't have money or a new car.,35
759,"me, neither.",9
760,but girls like guys who are funny.,6
761,where are you going?,2
762,i have to walk the dog.,16
763,what kind of dog do you have?,7
764,i have a little poodle.,16
765,poodles bark a lot.,34
766,they sure do.,6
767,they bark at everything.,34
768,they never shut up.,6
769,why did you get a poodle?,1
770,it's my mom's dog.,6
771,so she likes poodles.,6
772,can i borrow $5?,24
773,sure. why do you need it?,20
774,i want to buy lunch.,0
775,where's your money?,2
776,it's not in my wallet.,8
777,your wallet is empty?,1
778,i don't have even one dollar in it.,16
779,being broke is no fun.,8
780,even if it's only for a short while.,8
781,it's always good to have friends.,44
782,friends will lend you money when you're broke.,6
783,let's go to the beach.,8
784,that's a great idea.,52
785,we haven't been in a while.,34
786,we haven't been in a month.,34
787,"the last time we went, you almost drowned.",42
788,"no, i didn't.",9
789,then why did the lifeguard dive into the water?,7
790,i think he wanted to cool off.,0
791,he swam right up to you.,8
792,and then he turned right around.,34
793,maybe you're right.,8
794,are you married?,1
795,no. i'm divorced.,41
796,when did you get divorced?,2
797,i got divorced two years ago.,16
798,why did you get divorced?,2
799,my wife left me.,0
800,why did she leave you?,1
801,she said she didn't love me anymore.,16
802,wow! that's terrible.,58
803,"yes, it was.",12
804,why didn't she love you anymore?,1
805,i'm bored.,10
806,what's on tv?,1
807,nothing.,6
808,there must be something on tv!,21
809,nothing that's interesting.,8
810,what about that new game show?,13
811,which one?,2
812,deal or no deal,52
813,tell me you're joking.,10
814,i love that show.,0
815,i watched it once. that was enough.,30
816,i like living here.,10
817,i agree. pasadena is a nice city.,31
818,it's not too big.,6
819,and it's not too small.,34
820,it has great weather all year long.,52
821,it has the rose parade.,44
822,it has beautiful houses.,34
823,it has wonderful restaurants.,44
824,it has great schools.,34
825,it's close to the mountains.,8
826,the people are friendly.,6
827,we need a new mattress.,34
828,what's the matter with this one?,7
829,it's not comfortable.,8
830,it seems fine to me.,10
831,i toss and turn all night.,16
832,you should stop drinking coffee.,6
833,look at these marks on my arms.,44
834,what are they?,1
835,they are bites.,6
836,did the cat bite you?,1
837,no. the bedbugs in that mattress bit me.,30
838,my laptop is so slow.,8
839,buy a new one.,8
840,i would if i had the money.,50
841,why is it so slow?,2
842,that's a good question.,34
843,did you take it to a computer shop?,7
844,i would if i had the money.,50
845,"well, i guess you have to live with it.",19
846,sometimes i want to throw it out the window.,0
847,you don't want to do that.,34
848,why not?,2
849,what's for dinner?,1
850,i'm not sure.,10
851,how about a pizza?,51
852,you had pizza for lunch.,34
853,but i love pizza.,0
854,everybody loves pizza.,8
855,so why can't i have pizza for dinner?,38
856,because you need variety.,34
857,"what's """"variety?",5
858,different thingsÂ—not the same thing all the time.,34
859,"you mean, like a pepperoni pizza instead of a cheese pizza?",25
860,we need to save money.,8
861,why do we need to save money?,1
862,because we need to buy a house.,34
863,but a house is so expensive.,8
864,that's why we need to save money.,34
865,how much do we need to save?,1
866,we need to save enough for a down payment.,44
867,how much is that?,1
868,"that's about $30,000.",42
869,thirty thousand dollars! that will take forever.,37
870,not if we save every penny.,8
871,the ocean is so big.,8
872,you can't see the end of it.,8
873,it goes on and on forever.,8
874,"and it's deep, too.",4
875,i think it's five miles deep.,10
876,are there fish at the bottom?,1
877,there are fish at the top and the bottom.,34
878,are there more fish or more people?,2
879,i think there are more fish.,10
880,i'm upset with my mom.,10
881,why is that?,1
882,i warned her about her new boyfriend. she didn't listen to me.,0
883,what happened?,7
884,"i gave her $1,000 for her birthday. i told her to spend it on herself.",28
885,that was very nice of you.,8
