Cluster;Answer
51;Questions are there to be asked. Sometimes the answer wont satisfy.
51;My lawyer told me not to answer this question. Is there anything else?
51;I looked it up, but i cant find the right answer.. I'm sorry do you want me to try it again?
52;Do you think there might be a song lyrics to this?
52;It is all according to god's plan
52;Did you ask Alexa before?
54;I did not know that. Thank you. Do you have more informations for me?
54;Those are usefull information. Where do i learn more about that?
56;Why did you do that, or what was your reason for that.
56;You really should do that. Or dont you want to do it?
57;If those questions keep you up on night. You should try to evaluate the reason why. Do you have a close friend to talk about that?
57;Sometimes the answer lies within the person itself. Did somebody asked you that before?
58;I totally agree.. But what you think about that?
58;Stay with your opinion. Do you have a reason for that?
59;Always try to live healthy 
59;Do you plan on going to the grocery store?
60;Your meaning is not always right.. Try to reflext your opinions
60;I thinke we can do that
